text,gloss
এখানে কাছেই একটি হাসপাতাল আছে।,এখানে কাছে এক হাসপাতাল থাকা
আমি নিজের পোশাকের স্টাইল বেছে নিই।,আমি নিজের পোশাক স্টাইল বেছে নেওয়া
তুমি কখন স্কুলে যাও?,তুমি কখন স্কুল যাওয়া ?
আমি অফিসে কাজ করি।,আমি অফিস কাজ করা
আমার একটি পোষা কুকুর আছে।,আমার পোষা কুকুর আছে
আমি কি এখানে বাসে টিকিট কিনতে পারি?,আমি এখানে বাস টিকিট কিনতে পারি ?
আমি আগামী বছর বিশ্ববিদ্যালয়ে ভর্তি হতে চাই।,আমি আগামী বছর বিশ্ববিদ্যালয়ে ভর্তি হতে চাই
আমি আগামীকাল পরীক্ষায় অংশ নেব।,আমি আগামীকাল পরীক্ষা অংশ নেওয়া
আমি রাতে দেরিতে ঘুমাই।,আমি রাত দেরি ঘুমানো
আমি প্রতিদিন সকাল ছয়টায় উঠি।,আমি প্রতিদিন সকাল ছয়টা উঠা
পরিবেশ রক্ষায় আমাদের সচেতন হতে হবে।,পরিবেশ রক্ষা আমাদের সচেতন হওয়া
আমি বোর লাগলে বই পড়ি।,আমি বোর লাগলে বই পড়া
তুমি কখন বাসে করে অফিসে যাও?,তুমি কখন বাস বাসে অফিস যাও ?
ভবিষ্যতে আমি একটি ভালো চাকরি পেতে চাই।,ভবিষ্যত আমি ভালো চাকরি পাওয়া চাই
আপনি সময় ব্যবস্থাপনা শিখতে পারেন।,আপনি সময় ব্যবস্থাপনা শেখা পারা
মানসিক চাপ কমাতে প্রতিদিন মেডিটেশন করা উচিত।,প্রতিদিন মেডিটেশন করা মানসিক চাপ কমানো উচিত
খবর নিয়ে আলোচনা হচ্ছে।,খবর আলোচনা হওয়া
এখানে সবাই একসাথে কাজ করে।,এখানে সবাই একসাথে কাজ করা
অনেক মানুষ সকালে নাস্তা খেতে ভুলে যায়।,অনেক মানুষ সকাল নাস্তা খাওয়া ভুল করা
স্কুলে আমি প্রতিদিন সকাল নয়টায় ক্লাসে যাই।,আমি স্কুল প্রতিদিন সকাল নয়টা ক্লাস যাওয়া
আমি রাতে শুতে যাই।,আমি রাত শোয়া যাওয়া
আমার প্রিয় স্মৃতিগুলো স্কুল জীবনের।,আমার প্রিয় স্মৃতি স্কুল জীবন
আমি আজ নতুন ক্যামেরা দিয়ে ছবি তুলেছি।,আজ আমি নতুন ক্যামেরা দিয়ে ছবি তোলা
আজ খুব গরম লাগছে।,আজ খুব গরম লাগা
সময় ঠিকভাবে ব্যবহার করলে সফল হওয়া যায়।,সময় ঠিকভাবে ব্যবহার করা সফল হওয়া যায়
আমার শিক্ষক আমাকে পড়াতে আসেন।,আমার শিক্ষক আমাকে পড়ানো আসা
জাতিসংঘ শান্তি মিশনে বাংলাদেশ অংশগ্রহণ করেছে।,বাংলাদেশ জাতিসংঘ শান্তি মিশন অংশগ্রহণ করা
ফ্যাশনের নতুন ধারাগুলো তরুণদের মধ্যে জনপ্রিয়।,ফ্যাশন নতুন ধারা তরুণ জনপ্রিয় হওয়া
আপনি কি নতুন দক্ষতা শিখতে চান?,আপনি নতুন দক্ষতা শিখতে চাই ?
ছাত্ররা ছবি আঁকে।,ছাত্ররা ছবি আঁকা
আমার বাবা আমার আদর্শ।,আমার বাবা আমার আদর্শ
স্কুল শেষে আমি খেলতে যাই।,স্কুল শেষে আমি খেলা যাওয়া
অনেকে সামাজিক মাধ্যমে ছবি শেয়ার করে।,অনেকে সামাজিক মাধ্যম ছবি শেয়ার করা
আমি খুব একঘেয়ে লাগছে।,আমি খুব একঘেয়ে লাগা
অনেক শিশু ভিডিও গেম খেলে।,অনেক শিশু ভিডিও গেম খেলা
আমি প্রতিদিন স্কুলে পড়তে যাই।,আমি প্রতিদিন স্কুলে পড়া যাওয়া
আজ আকাশে মেঘ আছে।,আজ আকাশ মেঘ থাকা
আমি বিভিন্ন ধরনের গান শুনতে পছন্দ করি।,আমি বিভিন্ন গান শুনতে পছন্দ করা
বাংলাদেশ আজ ফুটবল খেলবে।,বাংলাদেশ আজ ফুটবল খেলা হবে
নতুন বন্ধু বানানো সহজ না,নতুন বন্ধু বানানো সহজ না
আমি আজ খুব খুশি বোধ করছি।,আমি আজ খুব খুশি বোধ করা
পাড়ার সবাই একসঙ্গে খেলাধুলা করে।,পাড়া সবাই একসঙ্গে খেলাধুলা করা
প্রযুক্তি আমাদের জীবনকে সহজ করেছে।,প্রযুক্তি আমাদের জীবন সহজ করা
আজ আবহাওয়া কেমন হবে?,আজ আবহাওয়া কেমন হবে ?
আমি মিষ্টি খেতে পছন্দ করি।,আমি মিষ্টি খাওয়া পছন্দ করা
আমি প্রতিদিন বাসে করে অফিসে যাই।,আমি প্রতিদিন বাসে অফিস যাওয়া
বৃক্ষ পরিবেশের জন্য খুব গুরুত্বপূর্ণ।,বৃক্ষ পরিবেশ জন্য খুব গুরুত্বপূর্ণ
ভাল আদর্শ মানুষকে সঠিক পথে চলতে উদ্বুদ্ধ করে।,ভাল আদর্শ মানুষ সঠিক পথ চলা উদ্বুদ্ধ করা
আমি প্রতিদিন বই পড়ি।,আমি প্রতিদিন বই পড়া
আমি অবসর সময়ে ছবি আঁকতে পছন্দ করি।,আমি অবসর সময়ে ছবি আঁকা পছন্দ করা
আমি প্রতিদিন অনেক অ্যাপ ব্যবহার করি।,আমি প্রতিদিন অনেক অ্যাপ ব্যবহার করা
টাকা জমাতে আমাদের অবশ্যই খরচ কমাতে হবে।,টাকা জমানো জন্য আমরা খরচ কমানো দরকার
আমি এই বইটা খুব পছন্দ করি,আমি বইটা খুব ভালো লাগা
ফ্যাশনের বিভিন্ন ধরন মানুষ নিজের পছন্দ অনুযায়ী অনুসরণ করে।,ফ্যাশন বিভিন্ন ধরন মানুষ নিজে পছন্দ অনুসরণ করা
ভিডিও গেম খেললে শিশুদের পড়াশোনার ক্ষতি হতে পারে।,ভিডিও গেম খেলা শিশুদের পড়াশোনা ক্ষতি হওয়া পারে
নতুন দক্ষতা শিখতে আমার ভালো লাগে।,আমার নতুন দক্ষতা শিখতে ভালো লাগা
নতুন প্রযুক্তি মানুষের জীবন সহজ করে তোলে।,নতুন প্রযুক্তি মানুষ জীবন সহজ করা
আমি এই সিনেমাটা খুব পছন্দ করি।,আমি এই সিনেমা খুব পছন্দ করা
আমি সাধারণত সাদামাটা পোশাক পরতে পছন্দ করি।,আমি সাধারণত সাদামাটা পোশাক পরা পছন্দ করা
বাঙালিদের পহেলা বৈশাখ উদযাপন একটি গুরুত্বপূর্ণ ঐতিহ্য।,বাঙালি পহেলা বৈশাখ উদযাপন গুরুত্বপূর্ণ ঐতিহ্য
তুমি কি ভাত রান্না করতে পারবে?,তুমি ভাত রান্না করতে পারা?
হাতি তাদের কান দিয়ে বাতাস ঠান্ডা করতে পারে।,হাতি কান ব্যবহার বাতাস ঠান্ডা করা পারে
আমার প্রিয় স্মৃতি হলো পরিবারের সাথে পিকনিকে যাওয়া।,আমার প্রিয় স্মৃতি পরিবার সাথে পিকনিক যাওয়া
আমি প্রতিদিন সোশ্যাল মিডিয়া ব্যবহার করি।,আমি প্রতিদিন সোশ্যাল মিডিয়া ব্যবহার করা
আমার প্রতিদিন সকালবেলা ব্যায়াম করার লক্ষ্য।,আমার প্রতিদিন সকাল ব্যায়াম করা লক্ষ্য
আমার প্রিয় স্মৃতিগুলো স্কুল জীবনের সাথে জড়িত।,আমার প্রিয় স্মৃতি স্কুল জীবন সাথে জড়িত থাকা
আমি ভবিষ্যতে ইঞ্জিনিয়ার হতে চাই।,আমি ভবিষ্যত ইঞ্জিনিয়ার হওয়া চাই
নতুন দক্ষতা শেখা সহজ না?,নতুন দক্ষতা শেখা সহজ না ?
আমি নতুন শিল্প তৈরি করতে ভালোবাসি।,আমি নতুন শিল্প তৈরি করা ভালোবাসি
আমি গল্প লিখছি।,আমি গল্প লেখা
আমার বাবা আমার আদর্শ।,আমার বাবা আমার আদর্শ।
ছুটির দিনে আমরা বিশেষ খাবার রান্না করি।,ছুটি দিন আমরা বিশেষ খাবার রান্না করা
আমি বই পড়তে ভালোবাসি।,আমি বই পড়া ভালোবাসা
প্রতিদিনের কাজের জন্য একটি তালিকা তৈরি করলে উৎপাদনশীলতা বাড়ে।,প্রতিদিন কাজ তালিকা তৈরি করা উৎপাদনশীলতা বাড়া
পয়লা বৈশাখে আমরা নানা ধরনের অনুষ্ঠান পালন করি।,পয়লা বৈশাখ আমরা নানা ধরনের অনুষ্ঠান পালন করা
আমি প্রতিদিন অনেক ধরনের অ্যাপ ব্যবহার করি।,আমি প্রতিদিন অনেক ধরনের অ্যাপ ব্যবহার করা
আজ আকাশে মেঘ আছে।,আজ আকাশ মেঘ থাকা
আমি আজ বাসে অফিসে যাব।,আমি আজ বাসে অফিসে যাওয়ার কথা ভাবছি
সময় ঠিকভাবে ব্যবস্থাপনা করা প্রয়োজন।,সময় ঠিকভাবে ব্যবস্থাপনা করা প্রয়োজন
জাতিসংঘের সাধারণ অধিবেশন আগামী সপ্তাহে শুরু হবে।,জাতিসংঘ সাধারণ অধিবেশন আগামী সপ্তাহ শুরু হওয়া
তুমি কখনও সকালে নাস্তা খাও?,তুমি সকাল নাস্তা খাওয়া ?
আমি নতুন ভিডিও গেম খেলছি।,আমি নতুন ভিডিও গেম খেলা
ঈদে সবাই নতুন জামা পরে।,ঈদ সবাই নতুন জামা পরা
গল্প লেখা আমার খুব পছন্দ।,আমার গল্প লেখা পছন্দ
পাহাড়ে অনেক গাছ আছে।,পাহাড় অনেক গাছ থাকা
সে নতুন সিনেমাটি দেখতে চায়।,সে নতুন সিনেমা দেখতে চাই
কম্পিউটার আমাদের জীবন সহজ করেছে।,কম্পিউটার আমাদের জীবন সহজ করা
সমাজে সবাইকে সাহায্য করা উচিত।,সমাজ সবাই সাহায্য করা উচিত
তুমি কি প্রতিদিন সকালের নাস্তা খাও?,তুমি প্রতিদিন সকাল নাস্তা খাওয়া প্রশ্ন
দুর্গাপূজায় সবাই আনন্দে মেতে ওঠে।,দুর্গাপূজা সবাই আনন্দ মেতে ওঠা
বন ধ্বংস হলে পরিবেশের ক্ষতি হয়।,বন ধ্বংস হলে পরিবেশ ক্ষতি হওয়া
পাখিরা সকালে গান গায়।,পাখি সকাল গান গাওয়া
আমার বাবা আমার আদর্শ।,আমার বাবা আমার আদর্শ
আমি ভিডিও গেম খেলতে পছন্দ করি।,আমি ভিডিও গেম খেলা পছন্দ করা
আপনি কি ছবি আঁকতে পছন্দ করেন?,আপনি ছবি আঁকতে পছন্দ করেন ?
বনে অনেক পাখি গান গায়।,বনে অনেক পাখি গান গাওয়া
আমি ডাক্তার হতে চাই।,আমি ডাক্তার হতে চাই
আজকের খবর নিয়ে আলোচনা হচ্ছে,আজ খবর আলোচনা হচ্ছে
আমি ফটোগ্রাফি করতে ভালোবাসি।,আমি ফটোগ্রাফি ভালোবাসা করা
তুমি কোন কোন মোবাইল অ্যাপ ব্যবহার করো?,তুমি কোন কোন মোবাইল অ্যাপ ব্যবহার করা
সময় ঠিকভাবে ব্যবস্থাপনা করলে কাজের মান বাড়ে।,সময় ঠিকভাবে ব্যবস্থাপনা করলে কাজ মান বাড়া
আমি প্রতিদিন বিদ্যালয়ে পড়তে যাই।,আমি প্রতিদিন বিদ্যালয় পড়া যাওয়া
স্কুল শেষে তুমি কী করো?,স্কুল শেষ তুমি কি করা ?
স্কুল শেষ হওয়ার পর আমি খেলতে যাই।,স্কুল শেষ পর আমি খেলা যেতে
আমি প্রতিদিন সকালে হাঁটি।,আমি সকাল হাঁটা করা
হাতি পৃথিবীর সবচেয়ে বড় স্থলজ প্রাণী।,হাতি পৃথিবী সবচেয়ে বড় স্থলজ প্রাণী
আমার শিক্ষক খুব সহায়ক।,আমার শিক্ষক খুব সহায়ক
আমি স্কুলে পড়ি।,আমি স্কুলে পড়া
সে গল্প লিখছে।,সে গল্প লিখা
আমি বাজারে যাচ্ছি।,আমি বাজারে যাওয়া
আমি নতুন একটি মোবাইল অ্যাপ ডাউনলোড করতে চাই।,আমি নতুন মোবাইল অ্যাপ ডাউনলোড করতে চাই
আমি আজ স্কুলে গিয়েছিলাম।,আজ আমি স্কুল যাওয়া
পয়লা বৈশাখে সবাই নতুন কাপড় পরে।,পয়লা বৈশাখে সবাই নতুন কাপড় পরা
তুমি কোন ধরনের গান শুনতে পছন্দ করো?,তুমি কোন ধরনের গান পছন্দ করা শুনা
জীবনে ভুল থেকে শিখতে হয়।,জীবন ভুল শিখা হওয়া
আমি বাসে স্কুলে যাই।,আমি বাস স্কুল যাওয়া
বাংলাদেশে পহেলা বৈশাখ বড় উৎসব হিসেবে পালন করা হয়।,বাংলাদেশ পহেলা বৈশাখ বড় উৎসব হিসেবে পালন করা
আমি প্রতিদিন বই পড়ি।,আমি প্রতিদিন বই পড়া
জাতিসংঘে আজ নতুন একটি সিদ্ধান্ত গৃহীত হয়েছে।,জাতিসংঘ আজ নতুন সিদ্ধান্ত গ্রহণ করা
আমি অবসর সময়ে ছবি আঁকি।,আমি অবসর সময় ছবি আঁকা
বনে অনেক গাছ আছে।,বন অনেক গাছ আছে
বন আমাদের পরিবেশের জন্য খুব গুরুত্বপূর্ণ।,বন আমাদের পরিবেশ জন্য খুব গুরুত্বপূর্ণ
পয়লা বৈশাখে সবাই নতুন জামা পরে।,পয়লা বৈশাখ সবাই নতুন জামা পরা
সে অনেক পুরস্কার পেয়েছে।,সে অনেক পুরস্কার পাওয়া
মোবাইল অ্যাপ ব্যবহার করে কাজ সহজ হয়।,মোবাইল অ্যাপ ব্যবহার করা কাজ সহজ হওয়া
আমি প্রতিদিন ব্যায়াম করি।,আমি প্রতিদিন ব্যায়াম করা
তুমি আজকের হোমওয়ার্ক জমা দিয়েছো?,তুমি আজকের হোমওয়ার্ক জমা দেওয়া?
আমি সাধারণত রাত দশটায় ঘুমাতে যাই।,আমি সাধারণত রাত দশটা ঘুমাতে যাওয়া
আমার পাড়ার মানুষ খুব সহায়ক।,আমার পাড়া মানুষ সহায়ক থাকা
পরিবেশ রক্ষা আমাদের দায়িত্ব।,পরিবেশ রক্ষা আমাদের দায়িত্ব
বন উজাড় হলে পরিবেশের ক্ষতি হয়।,বন উজাড় পরিবেশ ক্ষতি হওয়া
বন্ধুদের সঙ্গে সময় কাটাই।,বন্ধু সঙ্গে সময় কাটানো
আমি আজ খুব দুঃখিত অনুভব করছি।,আমি আজ খুব দুঃখিত অনুভব করা
সমাজে সবাইকে সাহায্য করা গুরুত্বপূর্ণ।,সমাজ সবাই সাহায্য করা গুরুত্বপূর্ণ
খবরে আজকের ঘটনাগুলো নিয়ে আলোচনা হচ্ছে।,আজকের খবর আলোচনা হচ্ছে
অনেক মানুষ ভিডিও গেম খেলতে ভালোবাসে।,অনেক মানুষ ভিডিও গেম খেলতে ভালোবাসা
স্কুল শেষ হওয়ার পর তুমি কী করো?,স্কুল শেষ হওয়ার পর তুমি কী করা?
আমি আজ খুব অসুস্থ বোধ করছি।,আজ আমি অসুস্থ বোধ করা অনেক
আমার একটি বিড়াল আছে।,আমার একটি বিড়াল থাকা
তোমার বাড়ির কাজ শেষ করো।,তোমার বাড়ির কাজ শেষ করা
আমার পরিবারে চারজন সদস্য আছে।,আমার পরিবার চারজন সদস্য থাকা
আমি মোবাইলে নতুন অ্যাপ ডাউনলোড করেছি।,আমি মোবাইল নতুন অ্যাপ ডাউনলোড করা
আজকের ফ্যাশন স্টাইলগুলো খুব জনপ্রিয়।,আজকের ফ্যাশন স্টাইল জনপ্রিয় হওয়া
স্কুল শেষে আমি খেলতে যাই।,স্কুল শেষ আমি খেলা যেতে
মোবাইল অ্যাপ ব্যবহারের জন্য ইন্টারনেট প্রয়োজন।,মোবাইল অ্যাপ ব্যবহার করা ইন্টারনেট প্রয়োজন
আমার একটি পোষা বিড়াল আছে।,আমার পোষা বিড়াল আছে
আমি প্রতিদিন সকাল সাতটায় উঠি।,আমি প্রতিদিন সকাল সাতটা উঠা
ফ্যাশনের বিভিন্ন স্টাইল তরুণদের মধ্যে জনপ্রিয় হয়েছে।,ফ্যাশন বিভিন্ন স্টাইল তরুণদের মধ্যে জনপ্রিয় হওয়া
আমি ভবিষ্যতে ডাক্তার হতে চাই,আমি ভবিষ্যত ডাক্তার হওয়া চাই
আমি প্রতিদিন সকালে নাস্তা করি।,প্রতিদিন সকাল আমি নাস্তা করা
আমি এই সিনেমাটি খুব পছন্দ করি।,আমি এই সিনেমা খুব পছন্দ করা
বনের মধ্যে অনেক পাখি গান গায়।,বনের মধ্যে অনেক পাখি গান গাওয়া
সমাজের উন্নতির জন্য সবাইকে একসঙ্গে কাজ করতে হবে।,সমাজ উন্নতি জন্য সবাই একসঙ্গে কাজ করা দরকার
আমি জীবনে সাফল্য অর্জন করতে চাই।,আমি জীবন সফলতা অর্জন করা চাই
সকালে নাস্তা না খেলে শরীর খারাপ হতে পারে।,সকালে নাস্তা না খাওয়া শরীর খারাপ হওয়া পারে।
একটা গরিলা এক মিনিটের জন্য দশটা শব্দ শিখতে পারে।,একটা গরিলা এক মিনিট দশটা শব্দ শিখা পারা।
আপনারা কি সমাজের জন্য একসঙ্গে কাজ করবেন?,আপনারা কি সমাজ জন্য একসঙ্গে কাজ করা?
তুমি কি এই সিনেমাটা দেখেছো?,তুমি এই সিনেমা দেখা প্রশ্ন
আমি ডাক্তার হতে চাই।,আমি ডাক্তার হওয়া চাই।
আমি প্রতিদিন সকালে নাস্তা করি।,আমি প্রতিদিন সকাল নাস্তা করা।
তারা ফুটবল খেলছে,তারা ফুটবল খেলা
জাতিসংঘে আজ নতুন প্রস্তাব গৃহীত হয়েছে।,আজ জাতিসংঘ নতুন প্রস্তাব গ্রহণ করা।
আমার একটি পোষা বিড়াল আছে।,আমার পোষা বিড়াল থাকা।
নতুন দক্ষতা শেখা গুরুত্বপূর্ণ।,নতুন দক্ষতা শেখা গুরুত্বপূর্ণ।
এখানে একটি বাজার আছে।,এখানে বাজার থাকা।
আমি আজকের বাড়ির কাজ শেষ করেছি।,আমি আজকের বাড়ির কাজ শেষ করা।
স্কুল শেষ হওয়ার পর আমি খেলতে যাই।,স্কুল শেষ হওয়া পর আমি খেলা যেতে।
সে অনেক পুরস্কার পেয়েছে।,সে অনেক পুরস্কার পাওয়া।
জীবনে ভুল করা থেকে শেখা উচিত।,জীবন ভুল করা থেকে শেখা উচিত।
আমি সকাল আটটায় স্কুলে যাই।,আমি সকাল আটটা স্কুল যাওয়া।
স্ট্রেস কমাতে নিয়মিত ব্যায়াম করা উচিত।,স্ট্রেস কমানো নিয়মিত ব্যায়াম করা উচিত।
"আমি বোর ফিল করছি, কী করা যায়?","আমি বোর ফিল করা, কী করা যেতে পারে?"
পরীক্ষা আগামীকাল শুরু হবে।,পরীক্ষা আগামীকাল শুরু হওয়া।
ছবি আঁকতে ভালোবাসি।,ছবি আঁকা ভালোবাসা।
আমি আজ রাতে একটি সিনেমা দেখব।,আমি আজ রাত সিনেমা দেখা।
আপনি এই সফটওয়্যারটি ইন্সটল করেছেন?,আপনি কি সফটওয়্যার ইন্সটল করা?
আমি এই সিনেমাটি পছন্দ করি।,আমি এই সিনেমা পছন্দ করা।
আমি আজ নতুন বন্ধু বানাতে চাই।,আমি আজ নতুন বন্ধু বানানো চাই।
বর্তমানে প্রযুক্তির ব্যবহার বাড়ছে।,বর্তমানে প্রযুক্তি ব্যবহার বাড়া।
নতুন ফ্যাশন স্টাইল সবাই অনুসরণ করতে চায়।,নতুন ফ্যাশন স্টাইল সবাই অনুসরণ করতে চাওয়া
আমি রবীন্দ্রসঙ্গীত শুনতে পছন্দ করি।,আমি রবীন্দ্রসঙ্গীত শুনতে পছন্দ করা।
এই অ্যাপটি ছবি সম্পাদনা করতে ব্যবহার করা যায়।,এই অ্যাপ ছবি সম্পাদনা করা ব্যবহার করা যায়।
আমি এই সিনেমাটি পছন্দ করি।,আমি এই সিনেমা পছন্দ করা।
আমি এখন খুব বিরক্ত লাগছে।,আমি এখন খুব বিরক্ত লাগা।
আমার প্রিয় স্মৃতিগুলো স্কুল জীবনের সঙ্গে জড়িত।,আমার প্রিয় স্মৃতি স্কুল জীবন সঙ্গে জড়িত।
আমি বাজার থেকে সবজি কিনতে যাচ্ছি।,আমি বাজার সবজি কিনা যাওয়া।
স্কুল শেষ হওয়ার পরে আমি খেলতে যাই।,স্কুল শেষ পরে আমি খেলা যেতে।
পরিবেশের প্রতি আমাদের সচেতন হওয়া উচিত।,পরিবেশ আমাদের সচেতন হওয়া উচিত
আমি ভিডিও গেম খেলতে ভালোবাসি।,আমি ভিডিও গেম খেলা ভালোবাসা।
তুমি কোন ধরনের গান পছন্দ করো?,তুমি কোন ধরনের গান পছন্দ করা?
বর্তমানে কোন প্রবণতা সবচেয়ে জনপ্রিয়?,এখন কোন প্রবণতা সবচেয়ে জনপ্রিয় আছে?
আমি স্কুলে পড়ি।,আমি স্কুল পড়া।
আপনি নতুন বন্ধু বানাতে চান?,আপনি নতুন বন্ধু বানানো চাই?
আমি বাজারে নতুন জামা কিনতে যাচ্ছি।,আমি বাজার নতুন জামা কিনা যাওয়া
হাতি দিনে প্রায় ১৬ ঘণ্টা ঘাস খায়।,হাতি দিনে ১৬ ঘণ্টা ঘাস খাওয়া।
আজকের সংবাদটি কি আপনি দেখেছেন?,আজকের সংবাদ আপনি দেখা?
আপনি কিভাবে আরও উৎপাদনশীল হতে পারেন?,আপনি কিভাবে আরও উৎপাদনশীল হওয়া?
নতুন দক্ষতা শেখা গুরুত্বপূর্ণ।,নতুন দক্ষতা শেখা গুরুত্বপূর্ণ।
চাপ কমাতে শ্বাস-প্রশ্বাসের ব্যায়াম করুন।,চাপ কমানো শ্বাস-প্রশ্বাস ব্যায়াম করা
নদীর ধারে অনেক গাছ আর পাখি দেখা যায়।,নদী পাশ গাছ অনেক পাখি দেখা যাওয়া
আমি প্রতিদিন বিকেলে ফুটবল খেলি।,আমি প্রতিদিন বিকেল ফুটবল খেলা।
তুমি কি সোশ্যাল মিডিয়া ব্যবহার করো?,তুমি সোশ্যাল মিডিয়া ব্যবহার করা?
আমি আজ নতুন ক্যামেরা দিয়ে ছবি তুলেছি।,আমি আজ নতুন ক্যামেরা দিয়ে ছবি তোলা।
পহেলা বৈশাখে লোকজন নতুন পোশাক পরে।,পহেলা বৈশাখ লোকজন নতুন পোশাক পরা।
তুমি কখন ঘুমাতে যাও?,তুমি কখন ঘুমানো যাও?
আমি বাজারে নতুন জামা কিনতে গেলাম।,আমি বাজার নতুন জামা কিনতে যাওয়া।
আমার পাশের বাড়িতে কে থাকে?,আমার পাশের বাড়ি কে থাকা?
আমি বাজারে যাচ্ছি।,আমি বাজারে যাওয়া।
আমি আমার ফেসবুক স্ট্যাটাস আপডেট করেছি।,আমি আমার ফেসবুক স্ট্যাটাস আপডেট করা।
তুমি কখন ঢাকা যাবা?,তুমি ঢাকা কখন যাওয়া?
নতুন ফ্যাশন স্টাইল তরুণদের মাঝে জনপ্রিয় হচ্ছে।,নতুন ফ্যাশন স্টাইল তরুণদের মাঝে জনপ্রিয় হওয়া।
সাম্প্রতিক প্রবণতাগুলো কীভাবে বদলাচ্ছে?,সাম্প্রতিক প্রবণতি কেমন বদলানো হচ্ছে জানতে চাই
তুমি কীভাবে ঈদ উদযাপন করো?,তুমি কীভাবে ঈদ উদযাপন করা
আমি নতুন বন্ধু বানাতে চাই।,আমি নতুন বন্ধু বানানো চাই।
